id,city_or_regency,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score,traffic_density_encoded
11012022,Simeulue,2022,1838.09,94876.0,51.62,Low,0.12,67.27,2688.0,1.0,1628.09,72.37,1.0
11032022,Aceh Selatan,2022,4173.82,237376.0,56.87,Low,0.885,67.87,6447.0,1.0,3521.77,72.54,1.0
11042022,Aceh Tenggara,2022,4242.04,228308.0,53.82,Low,0.885,70.32,5829.0,1.0,3333.3,72.38,1.0
11062022,Aceh Tengah,2022,4527.53,222673.0,49.18,Low,1.11,73.95,8873.0,1.0,11758.668946135833,71.38,1.0
11072022,Aceh Barat,2022,2927.95,202858.0,69.28,Low,0.01,72.34,12730.0,1.0,3702.16,72.36,1.0
11082022,Aceh Besar,2022,2903.5,414490.0,142.76,Low,0.885,74.0,15457.0,1.2642857142857142,11758.668946135833,72.91,1.0
11102022,Bireuen,2022,1798.0,443874.0,246.87,Low,0.0,73.16,15470.0,1.2642857142857142,11758.668946135833,73.03,1.0
11112022,Aceh Utara,2022,3296.86,614640.0,186.43,Low,0.05,70.22,28310.0,1.2642857142857142,11758.668946135833,70.79,1.0
11122022,Aceh Barat Daya,2022,1882.05,155046.0,82.38,Low,0.71,67.41,4546.0,1.0,2834.81,71.79,1.0
11132022,Gayo Lues,2022,5549.91,103131.0,18.58,Low,79.65,68.25,3077.0,1.0,1498.6,71.92,1.0
11142022,Aceh Tamiang,2022,1957.02,301492.0,154.06,Low,0.04,70.43,10433.0,1.0,4406.28,72.63,1.0
11152022,Nagan Raya,2022,3544.9,173393.0,48.91,Low,0.885,70.1,10635.0,1.0,2531.54,76.15,1.0
11162022,Aceh Jaya,2022,3727.0,96028.0,25.77,Low,0.82,70.36,3122.0,2.0,1723.13,72.21,1.0
11172022,Bener Meriah,2022,1941.6,168690.0,86.88,Low,0.0,73.9,5476.0,1.0,2408.47,74.78,1.0
11712022,City of Banda Aceh,2022,59.02,257635.0,4365.22,Medium,8.43,86.28,21561.0,2.0,9205.59,73.76,2.0
11722022,City of Sabang,2022,122.13,43208.0,353.79,Low,0.885,76.85,1643.0,1.0,630.84,70.92,1.0
11732022,City of Langsa,2022,239.83,192630.0,803.19,Low,75.13,77.82,6263.0,1.0,3447.02,72.96,1.0
11742022,City of Lhokseumawe,2022,181.0,191396.0,1057.44,Low,0.885,78.04,10278.0,1.2642857142857142,11758.668946135833,70.69,1.0
12012022,Nias,2022,853.44,149249.0,174.88,Low,0.885,63.69,4536.0,1.0,2127.24,71.09,1.0
12022022,Mandailing Natal,2022,6620.7,484874.0,73.24,Low,0.885,68.05,16404.0,1.2642857142857142,11758.668946135833,71.33,1.0
12032022,Tapanuli Selatan,2022,4355.35,307312.0,70.56,Low,3300.75,70.92,17052.0,1.0,11758.668946135833,71.41,1.0
12042022,Tapanuli Tengah,2022,2194.98,374734.0,170.72,Low,0.0,70.31,11635.0,1.0,6739.73,71.12,1.0
12062022,Toba Samosir,2022,2022.0,212133.0,104.91,Low,0.885,75.96,8944.0,2.0,3505.9,71.35,1.0
12072022,Labuhan Batu,2022,2561.38,508024.0,198.34,Low,0.885,72.92,41809.0,1.2642857142857142,11758.668946135833,71.09,1.0
12092022,Simalungun,2022,4372.5,1021615.0,233.65,Low,0.885,73.77,47286.0,1.0,18644.47,69.83,1.0
12102022,Dairi,2022,1927.8,315460.0,163.64,Low,0.885,72.56,10717.0,1.2642857142857142,11758.668946135833,70.68,1.0
12132022,Langkat,2022,6273.29,1039926.0,165.77,Low,0.885,71.86,51413.0,4.0,19032.38,71.1,1.0
